Player1,Player2,Matches
Kamran Akmal,Hassan Khan,0.18181818181818182
Hassan Khan,Kamran Akmal,0.3
Mohammad Hafeez,Anwar Ali,0.2
Anwar Ali,Mohammad Hafeez,0.3333333333333333
Mohammad Hafeez,Mahmudullah,0.1
Mahmudullah,Mohammad Hafeez,0.16666666666666666
Mohammad Hafeez,Mohammad Nawaz,0.2
Mohammad Nawaz,Mohammad Hafeez,0.3
Mohammad Hafeez,Zulfiqar Babar,0.2
Zulfiqar Babar,Mohammad Hafeez,0.375
Sohaib Maqsood,Anwar Ali,0.16666666666666666
Anwar Ali,Sohaib Maqsood,0.1111111111111111
Sohaib Maqsood,Hassan Khan,0.16666666666666666
Hassan Khan,Sohaib Maqsood,0.1
Sohaib Maqsood,Mahmudullah,0.16666666666666666
Mahmudullah,Sohaib Maqsood,0.16666666666666666
Sohaib Maqsood,Mohammad Nawaz,0.16666666666666666
Mohammad Nawaz,Sohaib Maqsood,0.1
Sohaib Maqsood,NLTC Perera,0.16666666666666666
NLTC Perera,Sohaib Maqsood,0.16666666666666666
Sohaib Maqsood,RR Rossouw,0.16666666666666666
RR Rossouw,Sohaib Maqsood,0.1111111111111111
Sohaib Maqsood,Zulfiqar Babar,0.16666666666666666
Zulfiqar Babar,Sohaib Maqsood,0.125
Tamim Iqbal,Anwar Ali,0.2
Anwar Ali,Tamim Iqbal,0.1111111111111111
Tamim Iqbal,Hassan Khan,0.2
Hassan Khan,Tamim Iqbal,0.1
Tamim Iqbal,Mahmudullah,0.2
Mahmudullah,Tamim Iqbal,0.16666666666666666
Tamim Iqbal,Mohammad Nawaz,0.2
Mohammad Nawaz,Tamim Iqbal,0.1
Tamim Iqbal,NLTC Perera,0.2
NLTC Perera,Tamim Iqbal,0.16666666666666666
Tamim Iqbal,RR Rossouw,0.2
RR Rossouw,Tamim Iqbal,0.1111111111111111
Tamim Iqbal,Zulfiqar Babar,0.2
Zulfiqar Babar,Tamim Iqbal,0.125
Asif Ali,Usman Shinwari,0.25
Usman Shinwari,Asif Ali,0.125
BJ Haddin,Imad Wasim,0.1111111111111111
Imad Wasim,BJ Haddin,0.1
BJ Haddin,Mohammad Amir,0.2222222222222222
Mohammad Amir,BJ Haddin,0.3
DR Smith,Imad Wasim,0.2222222222222222
Imad Wasim,DR Smith,0.3
DR Smith,Kashif Bhatti,0.1111111111111111
Kashif Bhatti,DR Smith,1.0
DR Smith,Mohammad Amir,0.2222222222222222
Mohammad Amir,DR Smith,0.3
DR Smith,Usama Mir,0.2222222222222222
Usama Mir,DR Smith,0.375
DR Smith,Usman Shinwari,0.2222222222222222
Usman Shinwari,DR Smith,0.375
Imran Khalid,Mohammad Amir,0.3333333333333333
Mohammad Amir,Imran Khalid,0.1
Misbah-ul-Haq,Imad Wasim,0.1111111111111111
Imad Wasim,Misbah-ul-Haq,0.1
Misbah-ul-Haq,Kashif Bhatti,0.1111111111111111
Kashif Bhatti,Misbah-ul-Haq,1.0
Misbah-ul-Haq,Mohammad Amir,0.2222222222222222
Mohammad Amir,Misbah-ul-Haq,0.3
Misbah-ul-Haq,Usama Mir,0.1111111111111111
Usama Mir,Misbah-ul-Haq,0.125
Misbah-ul-Haq,Usman Shinwari,0.2222222222222222
Usman Shinwari,Misbah-ul-Haq,0.375
Mohammad Sami,Usman Shinwari,0.3333333333333333
Usman Shinwari,Mohammad Sami,0.25
SR Watson,Mohammad Amir,0.1111111111111111
Mohammad Amir,SR Watson,0.1
SR Watson,Usama Mir,0.2222222222222222
Usama Mir,SR Watson,0.375
SR Watson,Usman Shinwari,0.1111111111111111
Usman Shinwari,SR Watson,0.125
SW Billings,Imad Wasim,0.2
Imad Wasim,SW Billings,0.1
Shadab Khan,Usman Shinwari,0.25
Usman Shinwari,Shadab Khan,0.375
CS Delport,Anwar Ali,0.25
Anwar Ali,CS Delport,0.1111111111111111
CS Delport,Mahmudullah,0.25
Mahmudullah,CS Delport,0.16666666666666666
CS Delport,Mohammad Nawaz,0.25
Mohammad Nawaz,CS Delport,0.1
CS Delport,NLTC Perera,0.25
NLTC Perera,CS Delport,0.16666666666666666
CS Delport,Zulfiqar Babar,0.25
Zulfiqar Babar,CS Delport,0.125
Fakhar Zaman,Anwar Ali,0.125
Anwar Ali,Fakhar Zaman,0.1111111111111111
Fakhar Zaman,Hassan Khan,0.125
Hassan Khan,Fakhar Zaman,0.1
Fakhar Zaman,Mahmudullah,0.125
Mahmudullah,Fakhar Zaman,0.16666666666666666
Fakhar Zaman,Mohammad Nawaz,0.125
Mohammad Nawaz,Fakhar Zaman,0.1
Fakhar Zaman,NLTC Perera,0.125
NLTC Perera,Fakhar Zaman,0.16666666666666666
Fakhar Zaman,Zulfiqar Babar,0.125
Zulfiqar Babar,Fakhar Zaman,0.125
JJ Roy,Anwar Ali,0.2
Anwar Ali,JJ Roy,0.1111111111111111
JJ Roy,Hassan Khan,0.2
Hassan Khan,JJ Roy,0.1
JJ Roy,Mohammad Nawaz,0.2
Mohammad Nawaz,JJ Roy,0.1
JJ Roy,NLTC Perera,0.2
NLTC Perera,JJ Roy,0.16666666666666666
JJ Roy,Zulfiqar Babar,0.2
Zulfiqar Babar,JJ Roy,0.125
Mohammad Rizwan,Anwar Ali,0.125
Anwar Ali,Mohammad Rizwan,0.1111111111111111
Mohammad Rizwan,Hassan Khan,0.125
Hassan Khan,Mohammad Rizwan,0.1
Mohammad Rizwan,Mahmudullah,0.125
Mahmudullah,Mohammad Rizwan,0.16666666666666666
Mohammad Rizwan,Mohammad Nawaz,0.125
Mohammad Nawaz,Mohammad Rizwan,0.1
Mohammad Rizwan,NLTC Perera,0.125
NLTC Perera,Mohammad Rizwan,0.16666666666666666
Mohammad Rizwan,Zulfiqar Babar,0.125
Zulfiqar Babar,Mohammad Rizwan,0.125
Umar Akmal,Hassan Khan,0.125
Hassan Khan,Umar Akmal,0.1
Umar Akmal,Mahmudullah,0.125
Mahmudullah,Umar Akmal,0.16666666666666666
Umar Akmal,Zulfiqar Babar,0.125
Zulfiqar Babar,Umar Akmal,0.125
DJG Sammy,Amad Butt,0.09090909090909091
Amad Butt,DJG Sammy,0.25
DJG Sammy,Rumman Raees,0.09090909090909091
Rumman Raees,DJG Sammy,0.14285714285714285
DJG Sammy,Shadab Khan,0.09090909090909091
Shadab Khan,DJG Sammy,0.125
EJG Morgan,Amad Butt,0.16666666666666666
Amad Butt,EJG Morgan,0.25
EJG Morgan,Mohammad Irfan,0.16666666666666666
Mohammad Irfan,EJG Morgan,0.125
EJG Morgan,Mohammad Sami,0.16666666666666666
Mohammad Sami,EJG Morgan,0.1111111111111111
EJG Morgan,Rumman Raees,0.16666666666666666
Rumman Raees,EJG Morgan,0.14285714285714285
EJG Morgan,Shadab Khan,0.16666666666666666
Shadab Khan,EJG Morgan,0.125
Hasan Ali,Mohammad Sami,0.09090909090909091
Mohammad Sami,Hasan Ali,0.1111111111111111
Junaid Khan,Mohammad Sami,0.3333333333333333
Mohammad Sami,Junaid Khan,0.1111111111111111
Kamran Akmal,Rumman Raees,0.09090909090909091
Rumman Raees,Kamran Akmal,0.14285714285714285
Kamran Akmal,Shadab Khan,0.09090909090909091
Shadab Khan,Kamran Akmal,0.125
Mohammad Hafeez,Rumman Raees,0.1
Rumman Raees,Mohammad Hafeez,0.14285714285714285
Shahid Afridi,Mohammad Sami,0.1
Mohammad Sami,Shahid Afridi,0.1111111111111111
Shahid Afridi,Rumman Raees,0.1
Rumman Raees,Shahid Afridi,0.14285714285714285
Shahid Afridi,Shadab Khan,0.1
Shadab Khan,Shahid Afridi,0.125
Shakib Al Hasan,Amad Butt,0.2
Amad Butt,Shakib Al Hasan,0.25
Shakib Al Hasan,SR Watson,0.2
SR Watson,Shakib Al Hasan,0.1111111111111111
Shakib Al Hasan,Shadab Khan,0.2
Shadab Khan,Shakib Al Hasan,0.125
Sohaib Maqsood,Mohammad Sami,0.16666666666666666
Mohammad Sami,Sohaib Maqsood,0.1111111111111111
Tamim Iqbal,Mohammad Irfan,0.2
Mohammad Irfan,Tamim Iqbal,0.125
Tamim Iqbal,Mohammad Sami,0.2
Mohammad Sami,Tamim Iqbal,0.1111111111111111
Tamim Iqbal,Rumman Raees,0.2
